feature,importance
CSP_SituacionLaboralPadre,0.0012941716819421963
CSP_DistanciaVivienda,0.0012733280713899018
CSP_SituaPareja,0.001264751574817716
edadmatcat,0.0012480154748776943
pesentcat,0.0012431220045737911
HD_ExamenesEcocardiograma,0.0011991105677965847
embbajoplanificacion,0.0011366572516619466
HD_DosisSurfactante,0.0011220101914816401
CSP_EmbarazoDeseado,0.0010858861195676777
HD_C_ExamenNeurologico,0.0010825829155285546
CP_SA_Sangrado,0.0010732786397110075
V201,0.001057731367542061
recibioantibioticos,0.0010353750069181048
CSP_numPersVivenIngMen,0.0009679646269934179
HD_DiasAlojamiento,0.0009653616486622669
tipoventilacion,0.0009503020938817491
surfactante,0.0009371908251833529
CP_TP_Toxoplasmosis,0.0009026029487785001
ERN_AdaptNeonatal,0.0008976117213463401
HD_C_Ictericia,0.0008593373162122087
CP_TP_Rubeola,0.0008425253035845012
pdpcat,0.0008175637539168157
CSP_NutricionFam,0.0008163376778291045
ERN_sepsis,0.0008015941456245143
PA_RitmoCardiaco,0.0007685493240501819
V204A,0.0007220079706736566
HD_C_HemorragiaIntra,0.0007173653889054532
CSP_AyudaPerm1mes,0.000705619852006024
CP_SA_APP,0.0006547232181080517
CP_TP_Sifilis,0.0006337149777523876
RCIUpesoytallanacer,0.0006333055606856164
V206,0.0006102505229617485
V208,0.0005978855140518484
HD_NumTrasSanguineas,0.0005755625153476756
CP_DIU,0.0005672775470150038
HD_CicloAntibio,0.000563342657583874
V209,0.0005309086063282426
problemaneurologico,0.0004878025260621558
RCIUpeso,0.00047245552597659115
ERN_LubchencoFenton,0.0004697941443982723
anoxia5mn,0.0004209121555114815
CP_SA_InfGineco,0.0004035760539851683
zscoretalla0cat,0.0003991278459697456
controlcat,0.0003896010427213032
ninosmenosde5anos,0.000374328592903979
zscorePC0cat,0.00037357904717966146
BPN,0.0003394585922812513
zscoretalla1cat,0.00033560579014565143
CP_Hormonales,0.0003303298675498489
apgarcat1,0.00032256910183807577
UCIsinsoporteventilatorio,0.00029948042989582524
CP_SA_Anemia,0.000280909273084598
RCEUFentonentrada,0.00027030887317921386
cpapsola,0.000258222206804631
RCIUtalla,0.00024173098360769635
PA_ComplicacionsPartoPlacentaPrevia,0.0002376335643370945
PA_LugarNacimiento,0.00022006736719755693
Nearterm,0.00021933164016530956
ventilacionsola,0.00021736666300126097
HD_C_Hipoglicemia,0.00019362784714981512
PA_LiqAmnioticoMeconiado,0.0001895075248995121
hospenURN,0.0001852539538259663
CP_TP_HepatitisB,0.00017721654525171659
HD_C_DisplasiaBronco,0.00017433590956828735
UCI,0.0001641772441273888
zscorePC1cat,0.00014445260229818796
V202,0.00013118872885941303
BMImadrecat,0.0001189445142029802
V199,0.00011113528063098297
CP_MadreAlcohol,0.00010449396550902905
HD_C_Apnea,9.740432365824196e-05
zscorepesotalla0cat,6.287789905806014e-05
apgarcat5,5.4117047719978404e-05
ALIMENTAPARENTERAL,5.332000609279075e-05
gesentcat,4.814155441062917e-05
PESO1500G,1.9273199074765e-05
CP_MadreFumo,0.0
CP_EstuvoHosp,0.0
BMIpadrecat,0.0
CP_TP_HIV,0.0
HD_C_Convulsiones,0.0
HD_DiasFototerapia,0.0
HD_CiclosUltimaLinea,0.0
PA_EstActualMadre,0.0
PA_AtendioParto,0.0
RCIUPC,0.0
zscorepeso0cat,0.0
ventilacionmixta,0.0
trimestre,0.0
menosde1001,0.0
menosde31sem,0.0
tuvotransfusiones,0.0
V200,0.0
zscorepesotalla1cat,0.0
zscorepeso1cat,0.0
